amount,hour,day_of_week,merchant_category,is_fraud
214.0561237125866,10,2,retail,0
470.0446410818557,14,1,grocery,0
59.56722115118241,9,4,grocery,0
28.190463505528946,21,0,retail,0
45.2583057833571,16,3,grocery,0
45.74888534929121,21,2,grocery,0
275.81912108424825,4,3,retail,1
1752.476919121669,2,4,online,1
3133.90167671148,5,5,grocery,1
246.0702564603318,20,6,grocery,0
16.439398615360904,22,1,retail,0
10.051205537458545,3,5,grocery,0
40.5437501278347,1,3,online,0
24.841930446310087,3,1,restaurant,0
30.71718080672327,2,1,restaurant,0
51.01894430616667,18,5,restaurant,0
417.19577703656375,0,0,grocery,0
79.0513193303344,11,6,restaurant,0
54.92144726198863,0,0,retail,0
32.726535421795596,9,4,restaurant,0
65.14043319287647,5,0,restaurant,0
91.40883740833861,11,5,restaurant,0
33.88516584412818,18,6,grocery,0
30.015885089642815,9,1,grocery,0
45.629387935809056,20,0,retail,0
6.4895299042119206,23,1,retail,0
41.486181905186136,9,2,restaurant,0
4.817544775905549,6,4,restaurant,0
32.57010049159307,7,3,restaurant,0
198.1196942019973,15,6,restaurant,0
18.57619337219357,7,2,retail,0
41.83824227858657,3,2,restaurant,0
8.893998588494037,6,5,grocery,0
222.90114877184624,6,5,retail,0
3937.770190074133,0,2,online,1
56.47934940084904,2,2,retail,0
31.69287939184895,22,1,grocery,0
14.261110503106435,15,6,grocery,0
334.1343059677202,16,1,retail,0
66.33328329324856,2,2,retail,0
5.064405083148796,2,5,restaurant,0
27.694582827656703,7,4,online,0
43.32357572599084,1,6,grocery,0
43.351538043902764,3,6,online,0
40.80222646310554,5,3,restaurant,0
5.04413823671547,16,1,restaurant,0
5.491990871644007,7,3,retail,0
27.09783792821562,1,3,restaurant,0
172.32495673632457,16,4,restaurant,0
38.89050201591842,12,5,grocery,0
79.61088037611077,13,3,online,0
9.108603620901924,20,3,online,0
758.5125750697132,0,5,online,1
28.83906584486394,6,2,restaurant,0
141.81948905243885,9,5,travel,0
15.421277797579853,17,1,retail,0
18.418151209608443,20,5,restaurant,0
29.45811840483963,0,3,restaurant,0
16.509502271021486,17,4,restaurant,0
5.453751049479045,15,1,grocery,0
48.124385830233884,15,2,restaurant,0
18.520717635474803,6,2,restaurant,0
88.62489633386096,14,5,grocery,0
366.10235807510804,4,5,grocery,0
31.39869254603931,17,1,grocery,0
3.497721882350507,21,5,retail,0
5.263952226572486,18,2,online,0
137.67051554797357,12,1,online,0
35.687397652919024,11,6,restaurant,0
